"Auto","Hete","Mixo","ID","Partition_A","Partition_B","Partition_C"
0,0,1446700,"g10033.t1","brown","brown","blue"
184340000,85724000,140210000,"g10079.t1","yellow","blue","grey"
0,4732200,5261800,"g10080.t1","turquoise","black","grey"
285140,0,0,"g10108.t1","turquoise","black","turquoise"
3102400,0,0,"g10110.t1","turquoise","black","turquoise"
43824000,65473000,69094000,"g10119.t1","turquoise","black","grey"
25921000,5581100,10786000,"g10131.t1","black","black","grey"
6378100,5557800,4043700,"g10208.t1","pink","brown","grey"
589040,0,0,"g10244.t1","turquoise","black","turquoise"
29525000,37595000,49061000,"g10246.t1","pink","brown","grey"
0,1405500,2244200,"g10261.t1","magenta","brown","grey"
10245000,11742000,15419000,"g10264.t1","pink","brown","grey"
889790,577450,1604700,"g10294.t1","brown","brown","grey"
31959000,3816200,12361000,"g10298.t1","yellow","blue","grey"
2706100,0,3179300,"g10304.t1","blue","blue","grey"
1436600,804400,1100700,"g10382.t1","yellow","blue","grey"
1789300,348700,499950,"g10411.t1","black","black","grey"
0,5472300,3723300,"g10427.t1","yellow","blue","grey"
1981300,585910,898260,"g10467.t1","black","black","grey"
0,392140,0,"g10472.t1","blue","blue","brown"
1093600,4710100,1156000,"g10474.t1","blue","blue","grey"
0,1436900,783220,"g1048.t1","yellow","blue","grey"
760860,0,0,"g10480.t1","turquoise","black","turquoise"
0,3399000,0,"g10492.t1","blue","blue","brown"
757530,1022500,917350,"g10512.t1","yellow","blue","grey"
47796000,41235000,63491000,"g10520.t1","brown","brown","grey"
4081600,7951300,4770300,"g10526.t1","green","green","grey"
2118200,2232900,2014600,"g10534.t1","red","green","grey"
1123300,5506000,2966400,"g1056.t1","yellow","blue","grey"
11253000,21120000,13825000,"g10564.t1","green","green","grey"
0,0,578480,"g10571.t1","brown","brown","blue"
9821600,5188000,3062600,"g10603.t1","turquoise","black","grey"
5867200,5879000,14540000,"g10616.t1","brown","brown","blue"
2093600,1546000,1641200,"g10620.t1","black","black","grey"
897980,949740,0,"g10648.t1","brown","brown","grey"
279310,0,210280,"g10680.t1","green","green","grey"
2194200,0,0,"g10687.t1","turquoise","black","turquoise"
2282000,3192200,3335800,"g10723.t1","turquoise","black","grey"
0,579080,884270,"g10730.t1","magenta","brown","grey"
0,0,385650,"g10775.t1","brown","brown","blue"
3040200,0,4269100,"g10801.t1","red","green","grey"
0,1835300,1243100,"g10805.t1","yellow","blue","grey"
0,1910700,1715900,"g10816.t1","black","black","grey"
2059900,0,816410,"g10829.t1","yellow","blue","grey"
318800,1001200,338110,"g10834.t1","blue","blue","grey"
1029100,0,0,"g10842.t1","turquoise","black","turquoise"
0,0,733600,"g10853.t1","brown","brown","blue"
1146000,944100,1344700,"g10885.t1","red","green","grey"
885390,0,0,"g10905.t1","turquoise","black","turquoise"
0,4194900,0,"g10948.t1","blue","blue","brown"
5220900,5263600,6572700,"g10969.t1","brown","brown","grey"
3636100,1758100,3405500,"g10975.t1","blue","blue","grey"
8593400,5028800,11093000,"g10980.t1","red","green","grey"
3719800,2474400,2330600,"g11019.t1","turquoise","black","grey"
0,0,482160,"g11051.t1","brown","brown","blue"
2157300,0,0,"g11064.t1","turquoise","black","turquoise"
679510,791660,610620,"g11072.t1","red","green","grey"
0,814100,0,"g11136.t1","blue","blue","brown"
0,557530,591410,"g11145.t1","turquoise","black","grey"
1627300,814380,840430,"g11154.t1","turquoise","black","grey"
3111600,3420700,2147300,"g11167.t1","brown","brown","grey"
0,0,711370,"g11186.t1","brown","brown","blue"
0,0,413180,"g11189.t1","brown","brown","blue"
1553100,990290,844190,"g1119.t1","turquoise","black","grey"
0,1662000,1051200,"g11201.t1","yellow","blue","grey"
17374000,44988000,9373500,"g11242.t1","blue","blue","grey"
0,297440,602460,"g11303.t1","magenta","brown","grey"
2474800,5591900,9336800,"g11334.t1","pink","brown","grey"
0,1810100,948010,"g11349.t1","yellow","blue","grey"
7619200,4207200,5937900,"g11359.t1","yellow","blue","grey"
4385200,2101500,2852900,"g11362.t1","yellow","blue","grey"
4016200,2098400,2372900,"g11430.t1","black","black","grey"
16595000,6515800,14303000,"g11440.t1","green","green","grey"
