"Auto","Hete","Mixo","ID","Partition_A","Partition_B","Partition_C","Partition_D","Highlight"
0,0,1446700,"g10033.t1","brown","brown","blue",1,0.000306770508698327
184340000,85724000,140210000,"g10079.t1","yellow","blue","grey",2,0.0251481301243171
0,4732200,5261800,"g10080.t1","turquoise","black","grey",3,0
285140,0,0,"g10108.t1","turquoise","black","turquoise",4,0.000161700870400435
3102400,0,0,"g10110.t1","turquoise","black","turquoise",4,0.000197940686490421
43824000,65473000,69094000,"g10119.t1","turquoise","black","grey",3,1.45049661569751e-05
25921000,5581100,10786000,"g10131.t1","black","black","grey",5,0
6378100,5557800,4043700,"g10208.t1","pink","brown","grey",6,0.00219489147887347
589040,0,0,"g10244.t1","turquoise","black","turquoise",4,0.000186869950546332
29525000,37595000,49061000,"g10246.t1","pink","brown","grey",6,0
0,1405500,2244200,"g10261.t1","magenta","brown","grey",7,0.000172318997944864
10245000,11742000,15419000,"g10264.t1","pink","brown","grey",6,0
889790,577450,1604700,"g10294.t1","brown","brown","grey",8,0.016359861229129
31959000,3816200,12361000,"g10298.t1","yellow","blue","grey",9,0
2706100,0,3179300,"g10304.t1","blue","blue","grey",10,0
1436600,804400,1100700,"g10382.t1","yellow","blue","grey",11,0
1789300,348700,499950,"g10411.t1","black","black","grey",5,0
0,5472300,3723300,"g10427.t1","yellow","blue","grey",9,0.0228540246769299
1981300,585910,898260,"g10467.t1","black","black","grey",5,0.0212317892619338
0,392140,0,"g10472.t1","blue","blue","brown",12,1.40730714400597e-05
1093600,4710100,1156000,"g10474.t1","blue","blue","grey",13,0.0250291894018299
0,1436900,783220,"g1048.t1","yellow","blue","grey",11,0
760860,0,0,"g10480.t1","turquoise","black","turquoise",4,0.000161762269255507
0,3399000,0,"g10492.t1","blue","blue","brown",12,2.97008315643315e-06
757530,1022500,917350,"g10512.t1","yellow","blue","grey",9,0
47796000,41235000,63491000,"g10520.t1","brown","brown","grey",8,0
4081600,7951300,4770300,"g10526.t1","green","green","grey",14,0.0259836161749589
2118200,2232900,2014600,"g10534.t1","red","green","grey",15,0
1123300,5506000,2966400,"g1056.t1","yellow","blue","grey",2,0
11253000,21120000,13825000,"g10564.t1","green","green","grey",2,0.025836245718804
0,0,578480,"g10571.t1","brown","brown","blue",1,0.000325073444512082
9821600,5188000,3062600,"g10603.t1","turquoise","black","grey",7,0.00351513349848134
5867200,5879000,14540000,"g10616.t1","brown","brown","blue",1,1.39247675106961e-05
2093600,1546000,1641200,"g10620.t1","black","black","grey",5,0
897980,949740,0,"g10648.t1","brown","brown","grey",8,0
279310,0,210280,"g10680.t1","green","green","grey",2,8.79000949112689e-05
2194200,0,0,"g10687.t1","turquoise","black","turquoise",4,9.05134179449752e-05
2282000,3192200,3335800,"g10723.t1","turquoise","black","grey",3,0
0,579080,884270,"g10730.t1","magenta","brown","grey",7,0
0,0,385650,"g10775.t1","brown","brown","blue",1,0.000341375423198057
3040200,0,4269100,"g10801.t1","red","green","grey",10,0.0205372914823379
0,1835300,1243100,"g10805.t1","yellow","blue","grey",9,0.00011661992790208
0,1910700,1715900,"g10816.t1","black","black","grey",5,4.35148984709252e-05
2059900,0,816410,"g10829.t1","yellow","blue","grey",9,0.0240950695813207
318800,1001200,338110,"g10834.t1","blue","blue","grey",13,0
1029100,0,0,"g10842.t1","turquoise","black","turquoise",4,0.000243388851423677
0,0,733600,"g10853.t1","brown","brown","blue",1,0.000279962770531415
1146000,944100,1344700,"g10885.t1","red","green","grey",15,0.0176873557318154
885390,0,0,"g10905.t1","turquoise","black","turquoise",4,0.000195560302147808
0,4194900,0,"g10948.t1","blue","blue","brown",12,5.80390559953437e-05
5220900,5263600,6572700,"g10969.t1","brown","brown","grey",1,0
3636100,1758100,3405500,"g10975.t1","blue","blue","grey",13,0.0257695228744819
8593400,5028800,11093000,"g10980.t1","red","green","grey",15,0
3719800,2474400,2330600,"g11019.t1","turquoise","black","grey",3,0.00867977174833388
0,0,482160,"g11051.t1","brown","brown","blue",1,0.000284401102892944
2157300,0,0,"g11064.t1","turquoise","black","turquoise",4,2.51766376033183e-05
679510,791660,610620,"g11072.t1","red","green","grey",15,2.90099323139501e-07
0,814100,0,"g11136.t1","blue","blue","brown",12,2.49822468536803e-05
0,557530,591410,"g11145.t1","turquoise","black","grey",3,0
1627300,814380,840430,"g11154.t1","turquoise","black","grey",16,0
3111600,3420700,2147300,"g11167.t1","brown","brown","grey",8,0
0,0,711370,"g11186.t1","brown","brown","blue",1,0.000330140318658241
0,0,413180,"g11189.t1","brown","brown","blue",1,0.000215105287359664
1553100,990290,844190,"g1119.t1","turquoise","black","grey",3,0.00678658356552549
0,1662000,1051200,"g11201.t1","yellow","blue","grey",9,6.06307585361558e-05
17374000,44988000,9373500,"g11242.t1","blue","blue","grey",10,0.0210815178125476
0,297440,602460,"g11303.t1","magenta","brown","grey",6,0
2474800,5591900,9336800,"g11334.t1","pink","brown","grey",6,0
0,1810100,948010,"g11349.t1","yellow","blue","grey",11,0
7619200,4207200,5937900,"g11359.t1","yellow","blue","grey",11,0.0252223955510408
4385200,2101500,2852900,"g11362.t1","yellow","blue","grey",9,0.0690964369840127
4016200,2098400,2372900,"g11430.t1","black","black","grey",5,0
16595000,6515800,14303000,"g11440.t1","green","green","grey",14,0.0260219092856133
0,0,637120,"g11442.t1","brown","brown","blue",1,0.000317916336919527
3915000,18150000,5614100,"g11457.t1","blue","blue","grey",13,9.57327766360354e-05
0,1766100,2320400,"g11511.t1","turquoise","black","grey",7,0.00557280799750982
4538500,3973400,1947200,"g11518.t1","brown","brown","grey",6,0.00479534181149596
457030,750470,737460,"g11538.t1","turquoise","black","grey",16,0
1035700,0,863040,"g11552.t1","green","green","grey",14,0
0,202810,0,"g11556.t1","blue","blue","brown",12,2.84772480114555e-06
483540,0,684430,"g11581.t1","red","green","grey",10,0.000127063503535102
578500,0,0,"g11584.t1","turquoise","black","turquoise",4,0.000171305810873415
0,664720,372380,"g11626.t1","yellow","blue","grey",11,0
2614500,0,1849800,"g11632.t1","green","green","grey",2,0
329250,450060,337750,"g11650.t1","blue","blue","grey",13,0
0,0,2504000,"g11652.t1","brown","brown","blue",1,0.000178123488943694
1547700,1773300,1721400,"g11668.t1","black","black","grey",5,0.021379739916735
3707500,4749200,4666900,"g11678.t1","turquoise","black","grey",16,0
716270,3314100,4332600,"g11683.t1","turquoise","black","grey",7,0
449830,1187700,755670,"g11720.t1","yellow","blue","grey",2,0
2718200,3383300,1817700,"g11725.t1","red","green","grey",15,0
0,661410,0,"g11779.t1","blue","blue","brown",12,5.84431229097165e-05
0,0,723510,"g11787.t1","brown","brown","blue",1,0.000567813535435626
1378500,1461700,0,"g11862.t1","brown","brown","grey",8,0.0284865931350065
5283200,5109700,3649900,"g11918.t1","brown","brown","grey",6,0
934370,0,1458400,"g1192.t1","red","green","grey",15,0
21709000,10885000,11632000,"g11950.t1","turquoise","black","grey",16,0
2379900,0,0,"g12030.t1","turquoise","black","turquoise",4,0.000213607438162356
1469200,3126800,1465700,"g12031.t1","blue","blue","grey",12,0.000208871512660441
36357000,30882000,71497000,"g12066.t1","brown","brown","grey",8,0.000144469462923472
0,306100,0,"g12071.t1","blue","blue","brown",12,4.76432100404315e-05
4748200,3757400,5788600,"g12095.t1","red","green","grey",15,0.0173897138262743
2177200,0,2863300,"g12118.t1","blue","blue","grey",10,0
103960000,31608000,33565000,"g12121.t1","turquoise","black","grey",16,0
0,2168500,1848800,"g12127.t1","black","black","grey",5,0.0407531529146371
14291000,0,2880200,"g12131.t1","black","black","grey",5,0
4404500,5068800,3707400,"g12215.t1","red","green","grey",15,0
4111600,3583400,4954600,"g12246.t1","red","green","grey",8,0
8782900,6048700,5942500,"g12261.t1","turquoise","black","grey",3,0.0110075287172052
1572100,1347500,1751700,"g12281.t1","red","green","grey",15,0.0182669741794481
4177900,2397300,0,"g12284.t1","pink","brown","grey",6,0
0,0,2546700,"g123.t1","brown","brown","blue",1,0.000439492715061372
49153000,18427000,34565000,"g12350.t1","yellow","blue","grey",11,0
0,11468000,1950300,"g12381.t1","green","green","grey",14,0.0258411774072974
2372400,13337000,7618400,"g12398.t1","yellow","blue","grey",11,0
34692000,14374000,22394000,"g12406.t1","yellow","blue","grey",9,0
0,0,349800,"g12421.t1","brown","brown","blue",1,0.000474265176876602
1313600,0,1086800,"g12431.t1","green","green","grey",14,0.0518860045394386
704620,0,0,"g12435.t1","turquoise","black","turquoise",4,0.000100436199844387
4580400,3485000,3944700,"g12467.t1","yellow","blue","grey",11,0
31035000,26262000,27386000,"g12470.t1","black","black","grey",5,0
0,436830,735230,"g12510.t1","magenta","brown","grey",7,0.000172609097268003
0,0,226970,"g12523.t1","brown","brown","blue",1,8.3546423904575e-05
9975400,7195600,8992500,"g12544.t1","yellow","blue","grey",2,0.0255960434792445
3924700,0,0,"g12572.t1","turquoise","black","turquoise",4,0.000243388851423677
542930,563110,995170,"g12608.t1","brown","brown","grey",1,0
787900,2208100,1023900,"g1261.t1","green","green","grey",14,0.0259116715428203
34930000,18891000,14632000,"g130.t1","turquoise","black","grey",3,1.1023774279301e-05
2722700,0,1307100,"g1311.t1","yellow","blue","grey",11,0.000104145657007081
3297300,2397200,2969300,"g1315.t1","yellow","blue","grey",2,0.0257341307570589
0,0,1473900,"g1322.t1","brown","brown","blue",1,0.000557023259699423
897730,0,716760,"g1323.t1","green","green","grey",14,0
0,1570100,653190,"g1324.t1","yellow","blue","grey",2,0.000196107142442303
2709100,8238100,3282100,"g1334.t1","blue","blue","grey",13,0
37534000,20477000,33000000,"g1364.t1","green","green","grey",2,0.0260010221343472
720440,1692000,765710,"g1497.t1","blue","blue","grey",13,0
924240,7901100,4579600,"g1512.t1","yellow","blue","grey",11,0.074774260936499
0,1154800,0,"g1527.t1","blue","blue","brown",12,1.50706904290669e-05
763400,0,987270,"g1575.t1","blue","blue","grey",10,0
0,411410,486870,"g1581.t1","turquoise","black","grey",3,1.33445688644171e-05
0,1155800,2059500,"g1677.t1","magenta","brown","grey",7,0
1529000,0,1570500,"g1747.t1","blue","blue","grey",10,0
2190700,7554200,5369100,"g1772.t1","yellow","blue","grey",11,0
1822300,0,1709000,"g1776.t1","blue","blue","grey",13,0
0,4888200,3127500,"g1794.t1","yellow","blue","grey",9,0.023426100542161
1987300,1465500,1907700,"g1798.t1","green","green","grey",14,0
311280,0,0,"g1802.t1","turquoise","black","turquoise",4,0.000103854730943849
1770300,0,410970,"g183.t1","black","black","grey",5,0
0,491440,549920,"g1847.t1","turquoise","black","grey",3,0
71726000,18894000,53585000,"g1855.t1","green","green","grey",2,0.0516028676000545
2524900,0,0,"g186.t1","turquoise","black","turquoise",4,0.000237867060605331
1493300,2818200,3727100,"g1916.t1","magenta","brown","grey",7,5.80198646279003e-07
496440,1181100,0,"g1941.t1","red","green","grey",15,0
1113200,0,942220,"g1943.t1","green","green","grey",14,0.0517757667966456
0,0,626490,"g1990.t1","brown","brown","blue",1,0.000304939990573888
16449000,3898400,3754900,"g1992.t1","turquoise","black","grey",4,0.000302863693357639
3225000,4728500,2490900,"g2051.t1","red","green","grey",10,0
571370,2386300,679240,"g206.t1","blue","blue","grey",13,0
27020000,5784500,25010000,"g2074.t1","blue","blue","grey",13,0
4521900,3412600,3299800,"g2084.t1","turquoise","black","grey",3,0.00924256443522451
0,8138900,7709000,"g2094.t1","turquoise","black","grey",16,0
732330,0,965770,"g2095.t1","blue","blue","grey",10,4.78663883180177e-05
1362500,816400,1819500,"g2129.t1","red","green","grey",15,0.0179026094295849
1352500,0,2106700,"g2167.t1","red","green","grey",15,2.90099323139501e-07
3620000,818190,2017300,"g2198.t1","yellow","blue","grey",11,2.90099323139501e-07
17353000,28080000,34220000,"g2205.t1","magenta","brown","grey",7,0.000169127905390329
245820,0,0,"g2222.t1","turquoise","black","turquoise",4,0
4036000,1418300,1783600,"g225.t1","black","black","grey",5,0.000346958790474844
2697200,3860600,2860000,"g226.t1","green","green","grey",14,0
0,613620,0,"g2303.t1","blue","blue","brown",12,1.57911207915837e-06
1734600,1342500,839350,"g2305.t2.g2305.t1","pink","brown","grey",6,0
2207900,7124800,5776200,"g2307.t1","black","black","grey",9,0.0223504122519597
251160000,89798000,91994000,"g2308.t1","turquoise","black","grey",16,0
1058300,0,1334900,"g232.t1","blue","blue","grey",10,0
298420,0,0,"g2398.t1","turquoise","black","turquoise",4,9.49299304549568e-05
1538600,3883000,1599800,"g2399.t1","blue","blue","grey",13,0.0749787809593124
1119900,2245600,1190000,"g2406.t1","blue","blue","grey",13,0.0507348904252211
20462000,18829000,33113000,"g2407.t1","brown","brown","grey",8,0.0143599164954053
28738000,12751000,50088000,"g2531.t1","red","green","grey",15,0.0169490529544254
0,1106300,0,"g2532.t1","blue","blue","brown",12,0.000206925321580134
0,1452900,1160900,"g2562.t1","black","black","grey",5,0
0,408620,583840,"g2632.t1","turquoise","black","grey",7,0
5030200,2762400,3961300,"g2723.t1","yellow","blue","grey",11,0.000100954564452546
8099100,16431000,18915000,"g2816.t1","turquoise","black","grey",7,0
319160,275610,382330,"g2866.t1","red","green","grey",8,0
1895400,6064200,8481100,"g2867.t1","magenta","brown","grey",7,2.90099323139501e-07
2906000,2510000,5235200,"g2890.t1","brown","brown","grey",8,0
0,1412200,639060,"g2891.t1","yellow","blue","grey",11,0
1846600,5294600,1459700,"g2913.t1","blue","blue","grey",10,0.0219483345900884
34997000,11337000,15651000,"g2930.t1","black","black","grey",5,0
0,0,618640,"g2950.t1","brown","brown","blue",1,0.000293244080199186
760100,859780,802810,"g2956.t1","yellow","blue","grey",2,0.000305184487942755
0,793230,834720,"g2967.t1","turquoise","black","grey",3,0.0104749063599211
0,1973800,1067100,"g3003.t1","yellow","blue","grey",11,0.000105596153622778
0,0,1604300,"g3006.t1","brown","brown","blue",1,0.000211100402033569
543430,775000,0,"g3024.t1","brown","brown","grey",8,0.0322271338075672
1514600,1996100,1508500,"g3048.t1","blue","blue","grey",12,0
2051900,1295800,2297800,"g3058.t1","blue","blue","grey",10,0.020695685712772
0,0,212310,"g3059.t1","brown","brown","blue",1,0.000325901005129401
6396700,14949000,14808000,"g3096.t1","turquoise","black","grey",16,0.0355713988047194
0,2910600,3715100,"g3127.t1","turquoise","black","grey",3,0.0123884014953493
0,1471500,0,"g3139.t2.g3139.t1","blue","blue","brown",12,3.07262125683652e-06
0,0,692050,"g3152.t1","brown","brown","blue",1,0.000255670501584484
2368300,2777100,11361000,"g3164.t1","brown","brown","grey",1,0.013573167131051
15976000,12349000,16604000,"g3165.t1","blue","blue","grey",10,0.00012213181504173
1486000,3669200,1728000,"g3171.t1","blue","blue","grey",13,0
5603200,0,0,"g3174.t1","turquoise","black","turquoise",4,6.48603484624672e-05
1051900,2690800,2828800,"g3234.t1","turquoise","black","grey",3,0
3309900,5929500,15636000,"g3244.t1","brown","brown","grey",6,8.70297969418504e-06
4603200,8305100,4010800,"g327.t1","blue","blue","grey",10,0
23426000,12966000,14998000,"g3270.t1","black","black","grey",5,0.041391371425544
704890,533820,518150,"g3275.t1","turquoise","black","grey",3,0.00979607394377468
0,0,159700,"g3294.t1","brown","brown","blue",1,0.000853304307750914
0,1115000,0,"g3298.t1","blue","blue","brown",12,4.93674880865983e-05
13430000,6294400,17017000,"g3308.t1","red","green","grey",10,0
6861100,3525300,5162400,"g3314.t1","yellow","blue","grey",11,7.02040361997593e-05
1535900,1169700,2210100,"g3345.t1","red","green","grey",8,0
0,16441000,1496400,"g3350.t1","blue","blue","grey",13,0.025522358251167
1001800,2336100,1954800,"g3357.t1","black","black","grey",9,0
5359200,5860900,5379200,"g3363.t1","blue","blue","grey",13,0.025191645022788
4219700,2101600,2887100,"g3402.t1","yellow","blue","grey",9,0.000112558537378127
705810,0,666560,"g3404.t1","blue","blue","grey",13,0
4857500,2852700,3075600,"g3414.t1","black","black","grey",5,0
106020,0,172000,"g3422.t1","red","green","grey",15,0.000123582311657428
0,0,541250,"g3428.t1","brown","brown","blue",1,0.00050142974469746
4815500,2735900,2162100,"g3435.t1","turquoise","black","grey",3,0
2893000,1760800,1068400,"g3442.t1","magenta","brown","grey",7,5.22178781651102e-06
0,0,774440,"g3446.t1","brown","brown","blue",1,0.000492112721435963
0,321130,0,"g3450.t1","blue","blue","brown",12,1.91386954933289e-06
4478200,4481400,5782800,"g347.t1","brown","brown","blue",1,0
0,1052600,681750,"g348.t1","yellow","blue","grey",9,0.023376203458581
0,0,1906100,"g3484.t1","brown","brown","blue",1,0.000555728383094531
0,131880,0,"g3526.t1","blue","blue","brown",12,2.69473550916556e-05
2649100,2213100,875430,"g356.t1","pink","brown","grey",6,0
1938000,1211500,1993300,"g3562.t1","blue","blue","grey",10,0
1904400,0,2188100,"g3564.t1","blue","blue","grey",10,0.0218792909511812
8171300,4773400,7571600,"g3620.t1","green","green","grey",14,0.000181021977639049
0,511780,0,"g3673.t1","blue","blue","brown",12,0.000206925321580134
9443600,0,0,"g3684.t1.g3685.t1","turquoise","black","turquoise",4,4.9677490977384e-05
32789000,41332000,46146000,"g3719.t1","magenta","brown","grey",7,0.00287024270314223
460230,0,483920,"g3720.t1","blue","blue","grey",10,0
13885000,15484000,21740000,"g3726.t1","brown","brown","grey",6,2.90099323139501e-07
0,534550,0,"g3730.t1","blue","blue","brown",12,5.84431229097165e-05
27734000,8361000,13605000,"g3748.t1","black","black","grey",9,0
0,1180900,683830,"g3752.t1","yellow","blue","grey",11,0.0488237160843781
6063900,1768300,3750500,"g3756.t1","yellow","blue","grey",11,0.0246421969047618
2404700,1727800,0,"g3764.t1","pink","brown","grey",6,0
2930200,2280600,2763800,"g3796.t1","green","green","grey",2,0.000169418004713469
434850,0,663200,"g3806.t1","red","green","grey",15,0.019624639011741
3468200,2918500,2483600,"g3836.t1","magenta","brown","grey",7,5.80198646279003e-07
4686700,7080300,10946000,"g3843.t1","pink","brown","grey",6,0
6091800,1419200,4645900,"g3870.t1","green","green","grey",2,0
750690,279400,341810,"g3885.t1","black","black","grey",5,0
5313900,1383100,4026500,"g3890.t1","green","green","grey",2,0
1060900,1412500,4380400,"g3909.t1","brown","brown","grey",6,0.000162165521634981
20631000,15627000,32813000,"g391.t1","brown","brown","grey",8,3.30713228379031e-05
4353400,4192600,2866200,"g3911.t1","brown","brown","grey",6,0.0123686747413758
63456000,19567000,58829000,"g3916.t1","blue","blue","grey",13,0
0,391960,428210,"g3959.t1","turquoise","black","grey",3,0.000155783336525912
350150,0,409310,"g3960.t1","blue","blue","grey",10,0.0433762309944645
561780,1001900,0,"g4034.t1","red","green","grey",15,0.0171883848960155
3302200,5268900,2440300,"g4053.t2.g4053.t1","red","green","grey",10,0.0607467982654116
920630,2757600,1039100,"g4063.t1","blue","blue","grey",13,0
23032000,8974100,14976000,"g409.t1","yellow","blue","grey",11,0.0486473356959092
1489500,8717100,3636100,"g4095.t1","green","green","grey",2,0
3494000,8012800,3078100,"g4100.t1","blue","blue","grey",10,0.0219639999535379
13125000,1999700,6225100,"g4103.t1","yellow","blue","grey",9,0
0,2126100,0,"g4104.t1","blue","blue","brown",12,2.64624805231101e-05
230340,337330,249020,"g4108.t1","green","green","grey",14,0.0515750180650331
1011000,0,0,"g4158.t1","turquoise","black","turquoise",4,0.000213607438162356
0,488880,0,"g4215.t1","blue","blue","brown",12,1.11609641069926e-06
0,780410,242490,"g4228.t1","green","green","grey",2,0
1074000,1650600,1715000,"g4245.t1","turquoise","black","grey",3,0
2976300,7041700,4917400,"g4249.t1","yellow","blue","grey",11,0.0252821560116075
1187600,1931500,1524000,"g4271.t1","yellow","blue","grey",11,0
1462800,1070200,1243800,"g4316.t1","yellow","blue","grey",11,0.0247002167693897
73188000,33216000,27054000,"g435.t1","turquoise","black","grey",3,0.000662586854050621
856740,757900,905550,"g4408.t1","red","green","grey",10,0.0395915952247866
0,1150700,0,"g441.t1","blue","blue","brown",12,5.84431229097165e-05
1534000,5469200,2889500,"g4421.t1","green","green","grey",2,9.51525779897564e-05
0,5110300,2227800,"g4449.t1","yellow","blue","grey",2,0.000322880546654265
37382000,14491000,12278000,"g4469.t1","turquoise","black","grey",3,0.0187288123018862
2861500,1284000,3212600,"g4480.t1","blue","blue","grey",10,0.021379739916735
0,409900,0,"g45.t1","blue","blue","brown",12,4.84349919973916e-05
620260,1162400,1043200,"g4505.t1","black","black","grey",5,0.0210815178125476
0,391290,0,"g4518.t1","blue","blue","brown",12,5.84431229097165e-05
837010,0,0,"g4519.t1","turquoise","black","turquoise",4,7.04183893676859e-05
41521000,50452000,43327000,"g4594.t1.g5136.t1.g8860.t1.g7505.t1","green","green","grey",14,0.0522016326030144
1092700,948150,592530,"g4596.t1","pink","brown","grey",6,0.00732732870385752
1603600,1138100,2054800,"g4601.t1","red","green","grey",15,0.0178828826756114
6163200,5650800,3355800,"g4610.t1","brown","brown","grey",6,0.00557280799750982
0,1265400,0,"g4615.t1","blue","blue","brown",12,2.60309560197507e-05
206960,0,0,"g4647.t1","turquoise","black","turquoise",4,0.000104652652235984
969880,2268400,1935300,"g4654.t1","black","black","grey",5,0.022084681271964
2973300,1974800,2897400,"g4657.t1","blue","blue","grey",13,0.0254979899080233
