Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides AutoTP2R1	Peptides AutoTP2R2	Peptides AutoTP2R3	Peptides HeteTP4R1	Peptides HeteTP4R2	Peptides HeteTP4R3	Peptides MixoTP4R1	Peptides MixoTP4R2	Peptides MixoTP4R3	Razor + unique peptides AutoTP2R1	Razor + unique peptides AutoTP2R2	Razor + unique peptides AutoTP2R3	Razor + unique peptides HeteTP4R1	Razor + unique peptides HeteTP4R2	Razor + unique peptides HeteTP4R3	Razor + unique peptides MixoTP4R1	Razor + unique peptides MixoTP4R2	Razor + unique peptides MixoTP4R3	Unique peptides AutoTP2R1	Unique peptides AutoTP2R2	Unique peptides AutoTP2R3	Unique peptides HeteTP4R1	Unique peptides HeteTP4R2	Unique peptides HeteTP4R3	Unique peptides MixoTP4R1	Unique peptides MixoTP4R2	Unique peptides MixoTP4R3	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Q-value	Score	Identification type AutoTP2R1	Identification type AutoTP2R2	Identification type AutoTP2R3	Identification type HeteTP4R1	Identification type HeteTP4R2	Identification type HeteTP4R3	Identification type MixoTP4R1	Identification type MixoTP4R2	Identification type MixoTP4R3	Sequence coverage AutoTP2R1 [%]	Sequence coverage AutoTP2R2 [%]	Sequence coverage AutoTP2R3 [%]	Sequence coverage HeteTP4R1 [%]	Sequence coverage HeteTP4R2 [%]	Sequence coverage HeteTP4R3 [%]	Sequence coverage MixoTP4R1 [%]	Sequence coverage MixoTP4R2 [%]	Sequence coverage MixoTP4R3 [%]	Intensity	Intensity AutoTP2R1	Intensity AutoTP2R2	Intensity AutoTP2R3	Intensity HeteTP4R1	Intensity HeteTP4R2	Intensity HeteTP4R3	Intensity MixoTP4R1	Intensity MixoTP4R2	Intensity MixoTP4R3	LFQ intensity AutoTP2R1	LFQ intensity AutoTP2R2	LFQ intensity AutoTP2R3	LFQ intensity HeteTP4R1	LFQ intensity HeteTP4R2	LFQ intensity HeteTP4R3	LFQ intensity MixoTP4R1	LFQ intensity MixoTP4R2	LFQ intensity MixoTP4R3	MS/MS count AutoTP2R1	MS/MS count AutoTP2R2	MS/MS count AutoTP2R3	MS/MS count HeteTP4R1	MS/MS count HeteTP4R2	MS/MS count HeteTP4R3	MS/MS count MixoTP4R1	MS/MS count MixoTP4R2	MS/MS count MixoTP4R3	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
CON__P00761	CON__P00761	4	4	4		1	4	4	4	3	3	2	3	4	3	3	3	3	3	3	2	3	4	3	3	3	3	3	3	2	3	4	3	3	3	3	25.1	25.1	25.1	24.409	231	231	1	35	0	61.603	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	21.6	21.6	13	16.5	25.1	21.6	21.6	21.6	21.6	283770000	5556800	1490200	1588500	63838000	192400000	4688900	4419300	6434300	3353800	36253000	19406000	32976000	29913000	32081000	29400000	21778000	44121000	23764000	1	2	2	0	1	1	1	2	1	11			+	0	1553;1886;2089;3214	True;True;True;True	1654;2012;2229;3459	10972;10973;10974;10975;10976;10977;10978;13350;13351;13352;13353;13354;13355;13356;13357;13358;13359;13360;13361;13362;13363;13364;13365;13366;14813;14814;14815;14816;14817;14818;14819;14820;14821;23104;23105	3913;3914;4749;4750;4751;4752;4753;4754;4755;5273;5274;8200	3913;4749;5273;8200		
CON__P48668;CON__P04259;CON__P02538;CON__Q8VED5;CON__O95678;CON__P05787;CON__H-INV:HIT000016045;CON__P07744;CON__Q9DCV7;CON__Q3KNV1;CON__P08729;CON__Q8N1N4-2;CON__Q7RTT2;CON__Q9NSB2;CON__Q6ISB0	CON__P48668;CON__P04259;CON__P02538	13;13;13;4;4;3;2;2;1;1;1;1;1;1;1	7;7;7;0;0;0;0;0;0;0;0;0;0;0;0	5;5;5;0;0;0;0;0;0;0;0;0;0;0;0	;;	15	13	7	5	9	7	6	5	6	10	9	7	4	4	2	2	0	2	6	4	2	2	2	1	0	0	1	4	2	0	0	26.1	17.6	14.4	60.024	564	564;564;564;531;551;483;99;525;457;469;469;521;521;600;600	1	24	0	43.595	By MS/MS	By matching	By MS/MS	By matching	By matching	By MS/MS	By MS/MS	By matching	By MS/MS	16.3	11.7	8.5	6.9	11.3	22.7	14.5	11.3	6.7	14146000	3690300	565230	1122100	0	438220	3252800	2110500	1760200	1206600	3613200	0	2445900	0	1082600	1585100	1476800	0	1479500	2	0	1	0	0	2	2	0	1	8			+	1	139;323;416;445;923;1323;1632;1962;2363;2369;2496;3612;3639	True;True;False;True;False;True;True;False;False;False;True;True;False	141;337;438;470;976;1410;1740;2095;2557;2564;2698;3883;3912	926;2219;2220;2863;2864;2865;2866;3058;3059;6470;6471;6472;6473;9397;9398;9399;9400;9401;9402;9403;11566;11567;11568;11569;13890;13891;13892;13893;13894;13895;13896;13897;17053;17054;17055;17056;17057;17058;17083;17084;17085;17086;17087;17088;17089;17090;17091;17092;18007;25951;25952;25953;25954;25955;25956;25957;26143;26144;26145;26146;26147;26148;26149;26150	338;813;1044;1045;1101;2287;3381;3382;4099;4100;4960;6026;6034;6035;6036;6037;6038;6039;6040;6041;6042;6043;6374;9279;9336;9337	338;813;1045;1101;2287;3381;4100;4960;6026;6037;6374;9279;9336		
CON__P02768-1;CON__P02769	CON__P02768-1;CON__P02769	2;1	2;1	2;1	;	2	2	2	2	2	2	1	1	2	0	2	1	2	2	2	1	1	2	0	2	1	2	2	2	1	1	2	0	2	1	2	4.1	4.1	4.1	69.366	609	609;607	1	13	0	11.239	By matching	By MS/MS	By matching	By matching	By matching		By MS/MS	By matching	By matching	4.1	4.1	2.5	1.6	4.1	0	4.1	1.6	4.1	2097600	493970	521410	128650	47733	335300	0	296830	49619	224110	0	0	0	0	0	0	0	0	276320	0	0	0	0	0	0	1	0	0	1			+	2	1755;2146	True;True	1874;2290	12523;12524;12525;12526;12527;12528;15232;15233;15234;15235;15236;15237;15238	4447;5427	4447;5427		
CON__P04264	CON__P04264	38	38	27		1	38	38	27	35	28	27	23	32	26	34	31	33	35	28	27	23	32	26	34	31	33	24	20	19	15	22	19	25	22	24	51.6	51.6	41.1	66.017	644	644	1	353	0	323.31	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	50.2	46.3	46	32.1	51.4	46.7	50	46.3	48.3	1096800000	215780000	90457000	62138000	32673000	132580000	156840000	173740000	123830000	108800000	205460000	182260000	174840000	75623000	70080000	112170000	108820000	49152000	122770000	32	12	11	9	10	14	21	12	14	135			+	3	143;144;702;723;989;990;1037;1162;1498;1695;1838;1986;2013;2069;2265;2357;2358;2363;2390;2422;2522;2523;2719;2748;2751;2752;2769;2780;2781;2790;3010;3011;3045;3066;3067;3597;3639;3642	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	145;146;741;742;764;1046;1047;1099;1229;1593;1811;1961;2119;2120;2148;2209;2440;2441;2551;2552;2557;2586;2621;2727;2728;2933;2964;2967;2968;2985;2997;2998;3009;3242;3243;3278;3303;3304;3868;3912;3915	956;957;958;959;960;961;962;963;4875;4876;4877;4878;4879;4880;4881;4882;4883;4884;4885;4886;4887;4888;4889;5026;5027;5028;5029;5030;5031;5032;5033;5034;6950;6951;6952;6953;6954;6955;6956;6957;6958;6959;6960;7291;7292;7293;7294;7295;7296;7297;7298;7299;7300;7301;7302;7303;7304;7305;7306;7307;8154;8155;8156;8157;8158;8159;8160;8161;10586;10587;10588;10589;12116;12117;12118;12119;12120;12121;12122;12123;12124;13025;13026;13027;13028;13029;13030;13031;13032;13033;13034;13035;13036;13037;13038;14051;14052;14053;14054;14055;14056;14057;14058;14059;14060;14061;14062;14063;14064;14065;14066;14067;14068;14069;14070;14071;14072;14073;14074;14075;14076;14077;14078;14079;14242;14243;14244;14245;14246;14247;14680;14681;14682;16254;16255;16256;16257;16258;16259;16260;16261;16999;17000;17001;17002;17003;17004;17005;17006;17007;17008;17009;17010;17011;17012;17013;17014;17015;17016;17017;17018;17019;17020;17021;17022;17023;17024;17025;17026;17027;17028;17029;17053;17054;17055;17056;17057;17058;17234;17235;17236;17237;17238;17239;17240;17460;17461;17462;17463;17464;17465;17466;17467;18229;18230;18231;18232;18233;18234;18235;18236;18237;18238;18239;18240;18241;18242;18243;18244;18245;18246;18247;18248;18249;19547;19548;19549;19550;19551;19552;19553;19554;19555;19751;19752;19753;19754;19755;19756;19757;19758;19771;19772;19773;19774;19775;19776;19777;19778;19779;19780;19781;19782;19925;19926;19927;19928;19929;19930;19931;19932;19933;19934;19935;19936;19985;19986;19987;19988;19989;19990;19991;19992;19993;19994;19995;19996;19997;19998;19999;20000;20001;20002;20003;20004;20005;20085;20086;20087;20088;20089;20090;20091;20092;21616;21617;21618;21619;21620;21621;21622;21623;21624;21625;21626;21627;21628;21629;21630;21852;21853;21854;21855;21856;21857;21858;21859;21860;21861;21862;21863;21864;21865;21866;21867;21868;22071;22072;22073;22074;22075;22076;22077;22078;22079;22080;22081;22082;22083;22084;25847;25848;25849;25850;25851;25852;25853;25854;25855;26143;26144;26145;26146;26147;26148;26149;26150;26170;26171;26172;26173;26174;26175	345;346;347;348;349;1728;1729;1730;1731;1732;1781;1782;1783;2452;2453;2454;2455;2456;2457;2458;2578;2579;2580;2581;2582;2583;2584;2585;2586;2587;2588;2589;2590;2903;2904;2905;2906;2907;2908;2909;2910;2911;2912;3781;4318;4630;4631;5019;5020;5021;5022;5023;5024;5083;5230;5753;5754;5755;5756;5757;6012;6013;6014;6015;6016;6017;6018;6019;6020;6026;6089;6090;6091;6166;6167;6430;6431;6432;6433;6882;6883;6884;6885;6956;6957;6958;6962;6963;6964;6965;6966;7008;7009;7010;7011;7012;7013;7014;7032;7033;7034;7035;7036;7037;7038;7039;7040;7041;7042;7043;7071;7072;7073;7681;7682;7683;7684;7685;7686;7687;7757;7758;7759;7826;7827;7828;7829;9230;9231;9232;9233;9234;9235;9236;9237;9238;9336;9337;9354;9355;9356;9357;9358	345;346;1729;1781;2452;2458;2578;2903;3781;4318;4630;5019;5083;5230;5754;6013;6017;6026;6089;6167;6431;6433;6882;6957;6963;6965;7010;7035;7039;7071;7682;7687;7758;7826;7827;9231;9336;9356	0;1;2	296;469;493
CON__P08779;CON__P02533;CON__P19012;CON__A2A4G1;CON__Q04695;CON__Q9QWL7;CON__P08727;CON__P19001;CON__ENSEMBL:ENSP00000377550;CON__P08730-1;CON__Q9Z2K1;CON__Q3ZAW8;CON__P13646-1;CON__Q61782;CON__Q14525;CON__Q9UE12;CON__Q15323;CON__A2A5Y0;CON__P05784;CON__P35900;CON__Q92764;CON__Q9D312;CON__Q14532;CON__A2AB72;CON__Q497I4;CON__O76015;CON__O76013;CON__Q7Z3Y9;CON__O76014;CON__REFSEQ:XP_986630;CON__Q99456;CON__Q2M2I5	CON__P08779;CON__P02533;CON__P19012;CON__A2A4G1;CON__Q04695;CON__Q9QWL7	8;7;5;5;4;4;3;3;3;3;3;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	5;4;3;2;2;2;1;1;2;1;1;1;2;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0	2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	;;;;;	32	8	5	2	7	6	6	3	5	6	7	6	7	5	4	3	1	2	4	4	3	4	2	2	1	0	1	2	2	1	2	18.4	13.1	6.3	51.267	473	473;472;456;456;432;433;400;403;420;437;469;474;458;93;404;416;416;416;423;424;425;431;448;453;455;456;467;468;471;476;494;525	1	30	0	39.289	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By matching	By MS/MS	By matching	By matching	16.5	14.2	12.1	5.3	9.9	14.4	15.9	13.5	15.9	15891000	3910500	907890	802080	753960	547030	4060100	2411300	926290	1571700	4818200	1894100	2094800	0	0	1506000	1473000	790130	1592100	3	1	1	0	0	0	2	0	0	7			+	4	282;1538;1637;1766;1818;3106;3354;3512	True;True;True;False;False;True;True;False	295;1639;1746;1885;1940;3345;3607;3777;3778	1905;1906;1907;10877;10878;10879;10880;10881;10882;11606;11607;11608;11609;11610;11611;11612;12586;12587;12588;12589;12590;12591;12592;12593;12910;12911;12912;12913;12914;12915;22350;22351;22352;22353;22354;22355;24061;24062;24063;24064;24065;24066;24067;24068;25264;25265;25266;25267;25268;25269;25270;25271;25272;25273;25274	723;3878;4117;4118;4470;4584;7923;8584;8585;9010;9011;9012;9013;9014;9015;9016	723;3878;4118;4470;4584;7923;8585;9010	3	121
CON__P13645;CON__P02535-1;CON__Q148H6;CON__Q7Z3Y7;CON__Q7Z3Z0;CON__Q7Z3Y8	CON__P13645	21;4;3;3;2;2	21;4;3;3;2;2	18;2;1;1;1;1		6	21	21	18	16	12	14	13	14	14	18	16	16	16	12	14	13	14	14	18	16	16	14	10	11	11	11	12	15	13	13	46.5	46.5	42.3	59.51	593	593;570;464;486;450;459	1	200	0	321.55	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	41.5	30.4	29.7	30.4	33.4	38.3	43.7	41	42.2	591230000	126080000	35082000	59723000	28405000	59521000	59777000	94688000	53850000	74105000	123470000	73126000	123530000	48141000	44485000	43527000	58751000	25179000	100250000	24	8	12	4	3	5	11	6	8	81			+	5	151;283;563;844;1337;1342;1624;1766;1818;2342;2407;2450;2457;2561;2755;2833;2834;3017;3355;3512;3632	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	153;296;595;892;1424;1429;1731;1885;1940;2536;2604;2650;2657;2658;2659;2771;2971;3055;3056;3249;3608;3777;3778;3904	993;994;995;996;997;998;999;1908;1909;1910;1911;1912;1913;1914;1915;1916;1917;1918;1919;1920;1921;3866;3867;3868;3869;3870;3871;3872;3873;5933;9480;9481;9482;9483;9484;9485;9486;9487;9488;9489;9490;9491;9517;9518;9519;9520;9521;9522;9523;9524;9525;9526;9527;9528;9529;9530;9531;9532;9533;11508;11509;11510;11511;11512;12586;12587;12588;12589;12590;12591;12592;12593;12910;12911;12912;12913;12914;12915;16905;16906;16907;16908;16909;16910;16911;16912;17345;17346;17347;17667;17668;17713;17714;17715;17716;17717;17718;17719;17720;17721;17722;17723;17724;17725;17726;17727;17728;17729;17730;17731;17732;17733;17734;17735;17736;17737;17738;17739;17740;17741;17742;17743;17744;17745;17746;17747;17748;17749;17750;17751;17752;17753;17754;18485;18486;18487;18488;18489;18490;18491;18492;19812;19813;19814;19815;19816;19817;19818;19819;19820;19821;19822;19823;19824;19825;19826;19827;19828;20372;20373;20374;20375;20376;20377;20378;20379;20380;20381;20382;21667;21668;21669;21670;21671;24069;24070;24071;24072;24073;24074;24075;24076;24077;25264;25265;25266;25267;25268;25269;25270;25271;25272;25273;25274;26089;26090;26091;26092;26093;26094	356;357;358;359;360;724;725;726;727;728;1388;1389;1390;1391;1392;1393;1394;2122;3402;3403;3404;3405;3406;3407;3408;3409;3410;3411;3412;3424;3425;3426;3427;3428;3429;3430;3431;4073;4470;4584;5986;5987;5988;5989;6120;6121;6122;6247;6269;6270;6271;6272;6273;6274;6275;6276;6277;6278;6279;6280;6510;6975;6976;6977;6978;6979;7209;7210;7211;7212;7213;7698;7699;8586;8587;8588;9010;9011;9012;9013;9014;9015;9016;9324;9325	360;724;1392;2122;3402;3431;4073;4470;4584;5987;6121;6247;6276;6510;6975;7209;7210;7699;8588;9010;9324	3;4;5	150;306;321
CON__P13647	CON__P13647	12	5	3		1	12	5	3	11	7	9	6	6	7	10	8	8	5	2	3	2	1	1	3	2	4	3	2	2	1	1	0	2	2	3	20.5	10.8	6.4	62.378	590	590	1	23	0	31.639	By MS/MS	By MS/MS	By matching	By matching	By matching	By matching	By matching	By matching	By MS/MS	19	11.2	14.9	9.7	9.8	11.4	16.1	13.7	14.9	10027000	4129400	1492700	1529500	147740	412910	126250	803560	529790	855090	2153600	3169300	3109800	973980	0	0	1196300	1044400	1192900	2	1	0	0	0	0	0	0	3	6			+	6	923;1323;1633;1962;2356;2363;2369;2709;3234;3482;3612;3639	False;False;True;False;True;False;False;True;True;True;False;False	976;1410;1741;2095;2550;2557;2564;2923;3480;3745;3883;3912	6470;6471;6472;6473;9397;9398;9399;9400;9401;9402;9403;11570;11571;11572;11573;11574;11575;11576;13890;13891;13892;13893;13894;13895;13896;13897;16997;16998;17053;17054;17055;17056;17057;17058;17083;17084;17085;17086;17087;17088;17089;17090;17091;17092;19485;19486;23239;23240;23241;23242;23243;25062;25063;25064;25065;25066;25067;25068;25951;25952;25953;25954;25955;25956;25957;26143;26144;26145;26146;26147;26148;26149;26150	2287;3381;3382;4101;4102;4960;6011;6026;6034;6035;6036;6037;6038;6039;6040;6041;6042;6043;6855;8262;8947;9279;9336;9337	2287;3381;4102;4960;6011;6026;6037;6855;8262;8947;9279;9336		
CON__P35527	CON__P35527	20	20	20		1	20	20	20	20	15	11	13	16	16	20	16	18	20	15	11	13	16	16	20	16	18	20	15	11	13	16	16	20	16	18	41.6	41.6	41.6	62.129	623	623	1	222	0	285.53	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	41.6	36.9	29.2	31.9	39.5	33.9	41.6	38.7	40.8	577540000	114460000	34562000	25551000	15232000	66283000	89544000	108770000	51317000	71819000	98744000	86048000	72520000	30925000	38052000	44799000	61790000	29832000	80307000	16	8	8	6	7	4	16	7	4	76			+	7	626;809;1038;1164;1178;1426;1427;1559;1693;1817;1851;2261;2275;2412;2466;2517;2720;3044;3049;3457	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	661;855;1100;1231;1246;1521;1522;1660;1661;1809;1939;1975;2435;2453;2454;2611;2668;2721;2934;3277;3282;3283;3717	4317;4318;4319;4320;4321;4322;4323;4324;4325;5638;5639;5640;5641;5642;5643;5644;5645;5646;5647;5648;5649;5650;5651;5652;5653;5654;5655;7308;7309;7310;7311;7312;7313;7314;7315;7316;8168;8169;8170;8171;8172;8173;8174;8175;8176;8177;8178;8179;8180;8181;8182;8183;8184;8264;8265;8266;8267;8268;8269;8270;8271;10098;10099;10100;10101;10102;10103;10104;10105;10106;10107;10108;10109;10110;10111;10112;10113;10114;10115;10116;10117;10118;10119;10120;10121;10122;11009;11010;11011;11012;11013;11014;11015;11016;11017;11018;11019;11020;11021;11022;12102;12103;12104;12105;12106;12107;12108;12109;12110;12897;12898;12899;12900;12901;12902;12903;12904;12905;12906;12907;12908;12909;13102;13103;13104;13105;13106;13107;13108;16233;16234;16235;16314;16315;16316;16317;16318;16319;16320;16321;16322;16323;16324;17396;17397;17398;17399;17400;17401;17402;17403;17404;17405;17811;17812;17813;17814;17815;17816;17817;17818;17819;17820;18192;18193;18194;18195;18196;18197;18198;19556;19557;19558;19559;19560;19561;19562;19563;21846;21847;21848;21849;21850;21851;21887;21888;21889;21890;21891;21892;21893;21894;21895;21896;21897;21898;21899;21900;21901;21902;21903;21904;21905;21906;21907;21908;21909;21910;21911;21912;21913;21914;21915;21916;21917;21918;21919;24864;24865;24866;24867;24868	1543;1544;1545;1546;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2591;2592;2593;2594;2595;2914;2915;2916;2917;2918;2919;2920;2921;2922;2923;2950;2951;2952;2953;2954;3611;3612;3613;3614;3615;3924;3925;3926;3927;4315;4316;4579;4580;4581;4582;4583;4650;5747;5778;5779;5780;5781;5782;6144;6145;6303;6304;6417;6418;6419;6886;6887;6888;7754;7755;7756;7766;7767;7768;7769;7770;7771;7772;7773;8876;8877	1544;2029;2592;2914;2950;3611;3614;3924;4315;4579;4650;5747;5779;6145;6303;6417;6888;7756;7768;8876	6;7;8	234;245;326
CON__P35908;CON__Q01546;CON__Q6NXH9;CON__Q7Z794;CON__P12035;CON__Q9R0H5	CON__P35908	24;4;3;3;3;2	21;3;2;1;2;1	14;0;0;0;0;0		6	24	21	14	22	19	15	8	16	12	16	17	16	19	17	13	6	14	11	14	15	13	13	11	9	3	8	6	9	9	11	44.8	40.5	30.5	65.865	645	645;638;539;578;629;524	1	137	0	313.85	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	43.4	33.8	25	12.1	29.6	22.5	33	34.4	31.3	195450000	54577000	18292000	9159000	4436200	16187000	26607000	25266000	20499000	20425000	38839000	30678000	16804000	12028000	17945000	18941000	23292000	12809000	29810000	12	6	4	1	3	2	8	2	5	43			+	8	416;923;989;1147;1148;1498;1962;1987;2264;2359;2369;2452;2628;2676;2747;2754;2916;3112;3113;3239;3409;3639;3643;3674	True;True;False;True;True;False;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;False;True;True	438;976;1046;1214;1215;1593;2095;2121;2439;2553;2564;2652;2839;2888;2963;2970;3140;3351;3352;3485;3664;3912;3916;3948	2863;2864;2865;2866;6470;6471;6472;6473;6950;6951;6952;6953;6954;6955;6956;8051;8052;8053;8054;8055;8056;8057;8058;8059;8060;8061;10586;10587;10588;10589;13890;13891;13892;13893;13894;13895;13896;13897;14080;14081;14082;14083;14084;14085;14086;14087;14088;14089;14090;16253;17030;17031;17032;17033;17034;17035;17083;17084;17085;17086;17087;17088;17089;17090;17091;17092;17686;17687;17688;18959;18960;18961;18962;18963;18964;19273;19274;19275;19276;19277;19278;19279;19280;19745;19746;19747;19748;19749;19750;19795;19796;19797;19798;19799;19800;19801;19802;19803;19804;19805;19806;19807;19808;19809;19810;19811;20923;20924;20925;22382;22383;22384;22385;22386;22387;22388;22389;22390;22391;23274;23275;23276;23277;23278;23279;23280;23281;24494;24495;24496;24497;24498;24499;24500;24501;24502;26143;26144;26145;26146;26147;26148;26149;26150;26176;26177;26178;26375;26376;26377;26378;26379;26380;26381;26382;26383	1044;1045;2287;2452;2453;2454;2455;2456;2457;2863;2864;2865;3781;4960;5025;5026;5752;6021;6034;6035;6036;6037;6038;6039;6040;6041;6042;6043;6255;6663;6768;6769;6770;6771;6954;6955;6970;6971;6972;6973;6974;7418;7931;7932;7933;8276;8277;8278;8279;8280;8281;8724;8725;8726;9336;9337;9359;9425	1045;2287;2452;2863;2865;3781;4960;5025;5752;6021;6037;6255;6663;6770;6954;6970;7418;7931;7932;8280;8724;9336;9359;9425		
CON__Q7RTS7;CON__Q32MB2;CON__Q14CN4-1;CON__Q6IME9;CON__Q3SY84	CON__Q7RTS7;CON__Q32MB2;CON__Q14CN4-1;CON__Q6IME9;CON__Q3SY84	3;3;2;2;2	1;1;1;1;1	1;1;1;1;1	;;;;	5	3	1	1	1	1	2	1	2	3	3	2	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	1	1	0	0	5.5	2.3	2.3	57.865	529	529;540;511;520;523	1	3	0	6.1091	By matching	By matching	By matching	By matching	By matching	By MS/MS	By matching	By matching		1.5	1.5	3.8	1.5	3.2	5.5	5.5	3.2	0	814820	0	0	79931	0	0	335570	399320	0	0	0	0	0	0	0	0	273430	0	0	0	0	0	0	0	1	0	0	0	1			+	9	923;988;1962	False;True;False	976;1045;2095	6470;6471;6472;6473;6947;6948;6949;13890;13891;13892;13893;13894;13895;13896;13897	2287;2451;4960	2287;2451;4960		
